12-13-2022, 18:36:44.00905 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00905 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00905 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00905 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00947 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00947 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00947 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00992 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00992 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00032 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00032 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00075 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000078ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00158 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00189 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00232 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00232 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00319 (000078ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:45.00319 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
